jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
9672,0,1,500-1000,0,49.0,0,1.8,1,1,0,0,1,1,1,3
9676,0,1,500-1000,1,50.0,0,0.6,1,0,0,0,0,0,0,3
9678,0,1,1-25,1,193.0,0,2.4,2,2,0,0,2,1,2,3
9681,0,1,1-25,1,41.0,0,0.6,1,4,1,0,5,4,22,3
9682,0,1,500-1000,0,50.0,0,0.6,1,3,0,0,3,1,1,3
9683,0,1,500-1000,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9684,0,1,500-1000,0,49.0,0,176.5,1,1,0,0,1,1,0,3
9686,0,1,500-1000,0,50.0,0,176.5,1,2,0,0,2,1,1,3
9687,0,1,500-1000,0,1796.0,0,21.8,2,6,0,0,6,2,1,3
9690,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9691,1,1,101-500,0,860.0,0,7.7,2,0,0,0,0,0,0,3
9693,0,1,500-1000,0,49.0,0,0.6,1,1,0,0,1,1,0,3
9694,0,1,500-1000,1,100.0,0,384.7,2,2,0,0,2,1,1,3
9696,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9697,0,0,101-500,1,500000.0,1,118.2,2,0,0,0,0,1,1,4
9699,0,0,500-1000,0,500000.0,1,294.1,2,0,0,0,0,0,0,3
9702,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9703,0,1,26-100,0,49.0,0,235.3,1,1,0,0,1,1,0,3
9706,0,1,1-25,0,0.0,0,0.0,0,0,0,0,0,0,0,3
9707,0,1,500-1000,1,49.0,0,11.8,1,1,0,0,1,1,0,3
9709,0,1,500-1000,1,50.0,0,11.8,1,0,0,0,0,0,0,3
9711,0,1,101-500,0,50.0,0,11.8,1,3,1,0,4,1,11,3
9712,0,1,500-1000,0,45.0,0,0.6,1,1,0,0,1,1,1,3
9713,0,1,500-1000,0,45.0,0,11.8,1,1,0,0,1,1,0,3
9714,0,1,101-500,0,49.0,0,0.6,1,1,0,0,1,1,0,3
9715,0,1,500-1000,0,49.0,0,176.5,1,1,0,0,1,1,1,3
9716,1,0,101-500,1,10200.0,0,9.6,6,0,0,0,0,2,3,3
9718,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,1,0,3
9721,0,1,500-1000,1,50.0,0,0.6,1,0,0,0,0,0,0,3
9723,0,1,101-500,0,45.0,0,0.6,1,1,0,0,1,1,0,3
9724,0,1,500-1000,0,500000.0,1,117.6,1,1,0,0,1,1,0,3
9726,1,1,500-1000,0,500.0,0,3.0,3,0,0,0,0,1,0,3
9727,0,1,101-500,1,150.0,0,1.8,1,1,0,0,1,2,0,3
9729,0,1,101-500,0,45.0,0,0.6,1,2,0,0,2,1,0,3
9730,0,1,1-25,0,149.0,0,122.4,6,1,0,0,1,1,1,3
9731,1,1,101-500,0,45.0,0,120.6,4,1,0,0,1,1,1,3
9735,0,1,101-500,0,500000.0,1,117.6,1,1,0,0,1,1,1,3
9736,0,1,101-500,0,500000.0,1,117.6,1,0,0,0,0,0,0,4
9737,0,1,101-500,1,500000.0,1,117.6,1,0,0,0,0,0,0,3
9739,0,1,500-1000,0,500000.0,1,117.6,2,0,0,0,0,0,0,3
9741,0,1,101-500,1,45.0,0,0.6,1,1,0,0,1,1,1,3
9743,0,1,101-500,1,141.0,0,1.8,1,17,6,1,22,6,33,3
9744,0,1,26-100,0,38.0,0,0.6,1,2,0,0,2,1,2,3
9745,1,1,500-1000,3,499999.0,1,484.2,16,0,0,0,0,3,1,0
9748,0,1,101-500,1,37.0,0,0.6,1,0,0,0,0,0,0,3
9752,0,1,101-500,1,1050.0,0,0.6,1,0,0,0,0,1,1,3
9753,0,1,101-500,0,50.0,0,0.6,1,1,0,0,1,1,0,3
9754,0,1,500-1000,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9755,0,1,26-100,2,73.0,0,1.8,1,55,1,0,56,13,18,2
9756,0,1,1-25,0,500000.0,1,240.0,9,1,0,0,1,1,1,3
9757,1,1,500-1000,11,500000.0,1,480.6,13,100,5,0,105,7,12,3
9759,0,0,101-500,0,500000.0,1,1.8,2,0,0,0,0,1,1,3
9760,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9761,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9762,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9763,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9764,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9765,0,0,More than 1000,0,150.0,0,0.0,1,0,0,0,0,0,0,3
9766,0,1,101-500,0,500000.0,1,0.0,1,0,0,0,0,0,0,3
9767,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9768,0,1,500-1000,0,500000.0,1,117.6,1,0,0,0,0,0,0,3
9770,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9771,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9772,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,1,1,3
9773,0,1,More than 1000,0,194.0,0,2.4,2,4,1,0,5,1,4,3
9774,0,1,500-1000,0,100.0,0,1.2,2,0,0,0,0,1,1,3
9775,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9776,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9777,0,1,1-25,0,50.0,0,0.0,1,0,0,0,0,0,0,4
9779,0,1,1-25,0,500000.0,1,119.4,3,1,0,0,1,1,0,3
9780,1,1,101-500,3,10445.0,0,0.6,1,53,1,0,54,4,19,2
9781,0,1,1-25,0,500000.0,1,0.0,1,0,0,0,0,0,0,4
9782,0,0,500-1000,0,146.0,0,2.4,2,17,1,0,18,2,3,3
9783,0,1,1-25,3,138.0,0,1.8,1,29,0,0,29,8,45,3
9785,0,1,1-25,0,50.0,0,0.0,1,2,0,0,2,1,1,3
9786,0,1,500-1000,0,50.0,0,0.6,1,1,0,0,1,1,1,4
9787,1,1,1-25,2,442.0,0,0.6,1,171,0,0,171,57,46,4
9788,0,1,1-25,1,1045.0,0,0.6,1,1,0,0,1,1,2,3
9790,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9791,0,1,500-1000,1,85.0,0,0.6,1,6,0,0,6,1,1,3
9792,0,1,1-25,0,500000.0,1,117.6,1,2,0,0,2,1,1,3
9794,0,1,26-100,1,270.0,0,0.6,1,31,1,0,32,6,1,3
9795,0,1,1-25,0,149.0,0,294.1,1,1,0,0,1,1,0,4
9796,0,1,500-1000,0,34.0,0,0.6,1,4,0,0,4,1,4,3
9797,0,1,101-500,1,48.0,0,176.5,1,2,0,0,2,2,7,3
9798,0,1,500-1000,1,135.0,0,2.4,2,43,4,0,47,9,2,3
9799,0,1,1-25,1,2.0,0,0.6,1,8,0,0,8,3,2,3
